都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,通称,通称_カナ,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,URL,備考
131130,34,東京都,渋谷区,広尾北公園,ヒロオキタコウエン,,,,東京都渋谷区広尾4-1-40,,,35.6563552,139.7199056,2,1,1,,1,1,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E5%BA%83%E5%B0%BE%E5%8C%97%E5%85%AC%E5%9C%92/@35.6562553,139.7176536,17z/data=!3m1!4b1!4m5!3m4!1s0x60188b6fb1c36aab:0x5ce1af530d294f1b!8m2!3d35.6562553!4d139.7198423",
131130,35,東京都,渋谷区,広尾東公園,ヒロオヒガシコウエン,,,,東京都渋谷区広尾4-2-27,,,35.6533886,139.7211099,2,1,1,,1,1,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E5%BA%83%E5%B0%BE%E6%9D%B1%E5%85%AC%E5%9C%92/@35.6534183,139.7189527,17z/data=!3m1!4b1!4m5!3m4!1s0x60188b6dee225a99:0x6f8c24be7146bdb7!8m2!3d35.6534183!4d139.7211414",
131130,36,東京都,渋谷区,円山児童遊園地,マルヤマジドウユウエンチ,,,,東京都渋谷区円山町9-7,,,35.6586046,139.6944133,,,,,,,,1,,,,,,,,,,,,"https://www.google.com/maps/place/%E5%86%86%E5%B1%B1%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.6586046,139.6922246,17z/data=!3m1!4b1!4m5!3m4!1s0x60188caa43621555:0x337d73bb8b8f7e94!8m2!3d35.6586046!4d139.6944133",
131130,37,東京都,渋谷区,神泉児童遊園地,シンセンジドウユウエンチ,,,,東京都渋谷区神泉町10-3,,,35.6552683,139.6929182,1,,,1,1,,1,,,,,,,,,,,,,"https://www.google.com/maps/place/%E7%A5%9E%E6%B3%89%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.6552683,139.6907295,17z/data=!3m1!4b1!4m5!3m4!1s0x60188b5512490c0d:0x44d15576705098ce!8m2!3d35.6552683!4d139.6929182",
131130,38,東京都,渋谷区,鍋島松濤公園,ナベシマショウトウコウエン,,,,東京都渋谷区松濤2-10-7,,,35.659755,139.6912907,4,3,1,,2,2,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E9%8D%8B%E5%B3%B6%E6%9D%BE%E6%BF%A4%E5%85%AC%E5%9C%92/@35.6598007,139.6889505,17z/data=!3m1!4b1!4m5!3m4!1s0x60188cab4c8a46ab:0x561cf7f30f8f18ab!8m2!3d35.6598007!4d139.6911392",
131130,39,東京都,渋谷区,代々木ポニー公園,ヨヨギポニーコウエン,,,,東京都渋谷区代々木神園町4-1,,,35.6787685,139.6950163,3,2,1,1,2,,2,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E4%BB%A3%E3%80%85%E6%9C%A8%E3%83%9D%E3%83%8B%E3%83%BC%E5%85%AC%E5%9C%92/@35.6787693,139.6929613,17z/data=!4m8!1m2!2m1!1z5Luj44CF5pyo44Od44OL44O85YWs5ZyS!3m4!1s0x60188ccbc7930001:0xd71d9aa923c3d8a4!8m2!3d35.6786548!4d139.6950691",
131130,40,東京都,渋谷区,代々木深町小公園,ヨヨギフカマチショウコウエン,,,,東京都渋谷区富ヶ谷1-54-1,,,35.6691677,139.6906599,3,2,1,1,,,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E4%BB%A3%E3%80%85%E6%9C%A8%E6%B7%B1%E7%94%BA%E5%B0%8F%E5%85%AC%E5%9C%92/@35.6694868,139.6883593,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f34b5767a8ad:0xde1d3b5c28ad1ce9!8m2!3d35.6694868!4d139.690548",
131130,41,東京都,渋谷区,富ヶ谷三本杉公園,トミガヤサンボンスギコウエン,,,,東京都渋谷区富ヶ谷2-2-13,,,35.6665656,139.6870799,2,1,,1,,,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E5%AF%8C%E3%83%B6%E8%B0%B7%E4%B8%89%E6%9C%AC%E6%9D%89%E5%85%AC%E5%9C%92/@35.6666326,139.6848714,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f34c3939b28d:0xa699fd19ed3c06da!8m2!3d35.6666326!4d139.6870601",
131130,42,東京都,渋谷区,富ヶ谷公園,トミガヤコウエン,,,,東京都渋谷区富ヶ谷2-15-15,,,35.6632262,139.6866736,3,2,1,,1,1,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E5%AF%8C%E3%83%B6%E8%B0%B7%E5%85%AC%E5%9C%92/@35.6632645,139.684515,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f352080a88dd:0xd204d22cd13fdb38!8m2!3d35.6632645!4d139.6867037",
131130,43,東京都,渋谷区,上原二丁目児童遊園地,ウエハラニチョウメジドウユウエンチ,,,,東京都渋谷区上原2-6-4,,,35.6663941,139.6839123,,,,,,,,1,,,,,,,,,,,,"https://www.google.com/maps/place/%E4%B8%8A%E5%8E%9F%E4%BA%8C%E4%B8%81%E7%9B%AE%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.6663766,139.6818238,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f34ed11224f3:0xda24b4f4c63d3f7a!8m2!3d35.6663766!4d139.6840125",
