都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,通称,通称_カナ,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,URL,備考
131130,64,東京都,渋谷区,七号通り公園,ナナゴウドオリコウエン,,,,東京都渋谷区幡ヶ谷2-53-5,,,35.6789995,139.6747179,2,2,,,,,,1,,,,,,,,,,,,"https://www.google.com/maps/place/%E4%B8%83%E5%8F%B7%E9%80%9A%E3%82%8A%E5%85%AC%E5%9C%92/@35.6789995,139.6725239,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f32375c05555:0x46d8bfdc571ea4eb!8m2!3d35.6789995!4d139.6747179",
131130,65,東京都,渋谷区,幡ヶ谷第三公園,ハタガヤダイサンコウエン,,,,東京都渋谷区幡ヶ谷3-36-8,,,35.6779413,139.6710254,2,1,,1,,,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E5%B9%A1%E3%83%B6%E8%B0%B7%E7%AC%AC%E4%B8%89%E5%85%AC%E5%9C%92/@35.6780066,139.6688859,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f32278c1d5a7:0x73b6e89b4e03fbc3!8m2!3d35.6780066!4d139.6710799",
131130,66,東京都,渋谷区,幡ヶ谷第二公園,ハタガヤダイニコウエン,,,,東京都渋谷区幡ヶ谷3-38-2,,,35.6791308,139.6716517,3,2,1,,1,1,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E5%B9%A1%E3%83%B6%E8%B0%B7%E7%AC%AC%E4%BA%8C%E5%85%AC%E5%9C%92/@35.6791074,139.6693942,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f322136696f3:0x289e49f2a5b43135!8m2!3d35.6791074!4d139.6715882",
131130,67,東京都,渋谷区,幡ヶ谷新道公園,ハタガヤシンドウコウエン,,,,東京都渋谷区幡ヶ谷3-56-10,,,35.6818769,139.6747311,2,1,,1,,,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E5%B9%A1%E3%83%B6%E8%B0%B7%E6%96%B0%E9%81%93%E5%85%AC%E5%9C%92/@35.6817948,139.6724882,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f3215c892d79:0x7a76ee382cd85cc4!8m2!3d35.6817948!4d139.6746822",
131130,68,東京都,渋谷区,十三号通り公園,ジュウサンゴウドオリコウエン,,,,東京都渋谷区笹塚2-32-8,,,35.6749635,139.6634906,2,1,1,,1,1,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E5%8D%81%E4%B8%89%E5%8F%B7%E9%80%9A%E3%82%8A%E5%85%AC%E5%9C%92/@35.6749635,139.6612966,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f31bae93a125:0x730f03db97cabce9!8m2!3d35.6749635!4d139.6634906",
131130,69,東京都,渋谷区,笹塚東公園,ササヅカヒガシコウエン,,,,東京都渋谷区笹塚2-46-4,,,35.6766135,139.6693692,2,1,1,,1,1,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E7%AC%B9%E5%A1%9A%E6%9D%B1%E5%85%AC%E5%9C%92/@35.6766135,139.6671752,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f3185d9573a5:0xe09bb30f5e3596c2!8m2!3d35.6766135!4d139.6693692",
131130,70,東京都,渋谷区,笹塚児童遊園地,ササヅカジドウユウエンチ,,,,東京都渋谷区笹塚3-2-9,,,35.6784682,139.6695814,,,,,,,,1,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E7%AC%B9%E5%A1%9A%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.6785126,139.6673816,17z/data=!4m8!1m2!2m1!1z56y55aGa5YWQ56ul6YGK5ZyS5Zyw!3m4!1s0x6018f318beebc5db:0xdf600732dbfcc0df!8m2!3d35.6784682!4d139.6695814",
131130,71,東京都,渋谷区,笹塚公園,ササヅカコウエン,,,,東京都渋谷区笹塚3-36-6,,,35.6771003,139.6662203,3,2,1,,2,2,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E7%AC%B9%E5%A1%9A%E5%85%AC%E5%9C%92/@35.6772467,139.6640221,17z/data=!4m8!1m2!2m1!1z56y55aGa5YWs5ZyS!3m4!1s0x6018f31944b8f269:0xdb9939dbe5565f4f!8m2!3d35.6771628!4d139.6661583",
131130,72,東京都,渋谷区,笹塚北児童遊園地,ササヅカキタジドウユウエンチ,,,,東京都渋谷区笹塚3-46-13,,,35.6801157,139.6684311,,,,,,,,1,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E7%AC%B9%E5%A1%9A%E5%8C%97%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.6802279,139.6663032,17z/data=!4m8!1m2!2m1!1z56y55aGa5YyX5YWQ56ul6YGK5ZyS5Zyw!3m4!1s0x6018f31f1f38a5b3:0x69e98ba704ae025d!8m2!3d35.680151!4d139.6684431",
131130,73,東京都,渋谷区,鳩森児童遊園地,ハトモリジドウユウエンチ,,,,東京都渋谷区千駄ヶ谷1-1-14,,,35.6780148,139.7090159,2,1,1,,1,1,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E9%B3%A9%E6%A3%AE%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.6778957,139.70694,17z/data=!3m1!4b1!4m5!3m4!1s0x60188cbe5fff1a3f:0x46edb1aa684674dd!8m2!3d35.6778957!4d139.709134",
131130,74,東京都,渋谷区,千鳩児童遊園地,チハトジドウユウエンチ,,,,東京都渋谷区千駄ヶ谷5-17-4,,,35.682551,139.7054696,1,1,,,,,,1,,,,,,,,,,,,"https://www.google.com/maps/place/%E5%8D%83%E9%B3%A9%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.682551,139.7032756,17z/data=!3m1!4b1!4m5!3m4!1s0x60188cc6deb12341:0x67f84721ab48aee6!8m2!3d35.682551!4d139.7054696",
131130,75,東京都,渋谷区,代々木みどり公園,ヨヨギミドリコウエン,,,,東京都渋谷区代々木1-37-10,,,35.6830825,139.7007436,,,,,,,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E4%BB%A3%E3%80%85%E6%9C%A8%E3%81%BF%E3%81%A9%E3%82%8A%E5%85%AC%E5%9C%92/@35.6831305,139.6985131,17z/data=!3m1!4b1!4m5!3m4!1s0x60188ccf51dc93a1:0x7217c8a414d5e54c!8m2!3d35.6831305!4d139.7007071",
131130,76,東京都,渋谷区,代々木二丁目あおい公園,ヨヨギニチョウメアオイコウエン,,,,東京都渋谷区代々木2-13-3,,,35.6869388,139.6959636,3,2,,1,1,,1,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E4%BB%A3%E3%80%85%E6%9C%A8%E4%BA%8C%E4%B8%81%E7%9B%AE%E3%81%82%E3%81%8A%E3%81%84%E5%85%AC%E5%9C%92/@35.6869828,139.6938927,17z/data=!3m1!4b1!4m5!3m4!1s0x60188cd22688a81d:0xd6736c2677e190b2!8m2!3d35.6869828!4d139.6960867",トイレの数は供用開始後の数。3月末改修終了予定。
131130,77,東京都,渋谷区,千原児童遊園地,センバラジドウユウエンチ,,,,東京都渋谷区神宮前2-31-5,,,35.6733256,139.7096412,2,1,1,,1,1,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E5%8D%83%E5%8E%9F%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.6733256,139.7074472,17z/data=!3m1!4b1!4m5!3m4!1s0x60188cbd273f4f45:0x179df0d8ac395df3!8m2!3d35.6733256!4d139.7096412",
131130,78,東京都,渋谷区,神宮通公園,ジングウドオリコウエン,,,,東京都渋谷区神宮前6-22-8,,,35.6640685,139.7018816,2,1,1,,1,1,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E7%A5%9E%E5%AE%AE%E9%80%9A%E5%85%AC%E5%9C%92/@35.6641482,139.6997304,17z/data=!3m1!4b1!4m5!3m4!1s0x60188ca607d49673:0x69d1bcfe3a851e54!8m2!3d35.6641482!4d139.7019244",
131130,79,東京都,渋谷区,玉川上水旧水路初台緑道,タマガワジョウスイキュウスイロ　ハツダイリョクドウ,,,,東京都渋谷区初台1-51,,,35.680738,139.686624,2,1,1,,1,1,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E7%8E%89%E5%B7%9D%E4%B8%8A%E6%B0%B4%E6%97%A7%E6%B0%B4%E8%B7%AF%E7%B7%91%E9%81%93/@35.6804135,139.6844064,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f33222bdd565:0x8e878b62dfdd2b04!8m2!3d35.6804135!4d139.6866004",
131130,80,東京都,渋谷区,玉川上水旧水路初台緑道,タマガワジョウスイキュウスイロ　ハツダイリョクドウ,,,,東京都渋谷区初台1-32,,,35.679064,139.684413,3,2,1,,2,2,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E7%8E%89%E5%B7%9D%E4%B8%8A%E6%B0%B4%E6%97%A7%E6%B0%B4%E8%B7%AF%E7%B7%91%E9%81%93/@35.6804135,139.6844064,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f33222bdd565:0x8e878b62dfdd2b04!8m2!3d35.6804135!4d139.6866004",
131130,81,東京都,渋谷区,玉川上水旧水路大山緑道,タマガワジョウスイキュウスイロ　オオヤマリョクドウ,,,,東京都渋谷区大山町23,,,35.670509,139.673453,,,,,,,,1,,,,,,,,,,,,"https://www.google.com/maps/place/%E7%8E%89%E5%B7%9D%E4%B8%8A%E6%B0%B4%E6%97%A7%E6%B0%B4%E8%B7%AF+%E5%A4%A7%E5%B1%B1%E7%B7%91%E9%81%93/@35.6712311,139.6704668,17z/data=!4m5!3m4!1s0x6018f33e6f786483:0x14a36570dda114a!8m2!3d35.6712311!4d139.6726555",
131130,82,東京都,渋谷区,玉川上水旧水路笹塚緑道,タマガワジョウスイキュウスイロ　ササヅカリョクドウ,,,,東京都渋谷区笹塚1-29,,,35.673097,139.66699,7,5,1,1,3,2,1,,,,有,,,,,,,,,"https://www.google.com/maps/@35.6716906,139.6637229,20z",
